800278,Lehragaga (M Cl),273,53,3
800279,Moonak (NP),274,53,3
800280,Khanauri (NP),274,53,3
800281,Barnala (M Cl),275,54,3
800282,Handiaya (NP),275,54,3
800283,Dhanaula (M Cl),275,54,3
800284,Tapa (M Cl),276,54,3
800285,Bhadaur (M Cl),276,54,3
800286,Chandigarh (M Corp. + OG) ,277,55,4
800348,Gadarpur (NPP),350,67,5
800349,Dineshpur (NP),350,67,5
800350,Shaktigarh (NP),351,67,5
800351,Sitarganj (NPP),351,67,5
800352,Khatima (NPP),352,67,5
800353,Roorkee (NPP),353,68,5
800354,Roorkee (CB),353,68,5
800355,Jhabrera (NP),353,68,5
800356,Manglaur (NPP),353,68,5
800357,Landhaura (NP),353,68,5
800358,Bharat Heavy Electricals Limited Ranipur (ITS),354,68,5
800359,Hardwar (NPP + OG),354,68,5
800360,Laksar (NP),355,68,5
800361,Kalka (MC + OG),356,69,6
800362,Pinjore (MC),356,69,6
800363,Panchkula (M Cl),357,69,6
800364,Naraingarh (MC),358,70,6
800365,Ambala (M Cl),359,70,6
800366,Ambala Cantt. (CB),359,70,6
800367,Ambala Sadar (M Cl + OG),359,70,6
800368,Jagadhri (M Cl),361,71,6
800369,Yamunanagar (M Cl + OG),361,71,6
800370,Shahbad (MC),364,72,6
800371,Pehowa (MC),365,72,6
800372,Thanesar (M Cl),366,72,6
800373,Ladwa (MC),366,72,6
800374,Cheeka (MC),367,73,6
800375,Kaithal (M Cl),368,73,6
800376,Kalayat (MC),368,73,6
800377,Pundri (MC + OG),369,73,6
800378,Nilokheri (MC),370,74,6
800379,Taraori (MC),370,74,6
800380,Indri (MC),371,74,6
800381,Karnal (M Cl + OG),372,74,6
800382,Nissing (MC),372,74,6
800383,Assandh (MC),373,74,6
800384,Gharaunda (MC),374,74,6
800385,Panipat (M Cl + OG),375,75,6
800386,Samalkha (MC + OG),377,75,6
800387,Gohana (MC),378,76,6
800388,Ganaur (MC),379,76,6
800389,Sonipat (M Cl + OG),380,76,6
800390,Kharkhoda (MC),381,76,6
800391,Narwana (M Cl),382,77,6
800392,Uchana (MC),382,77,6
800393,Jind (M Cl),383,77,6
800394,Julana (MC),384,77,6
800395,Safidon (MC),385,77,6
800396,Ratia (MC),386,78,6
800397,Tohana (M Cl),387,78,6
800398,Fatehabad (M Cl),388,78,6
800399,Mandi Dabwali (MC),389,79,6
800400,Kalanwali (MC),390,79,6
800401,Sirsa (M Cl),390,79,6
800402,Rania (MC),391,79,6
800403,Ellenabad (MC),392,79,6
800404,Barwala (MC),394,80,6
800405,Hisar (M Cl + OG),394,80,6
800406,Narnaund (MC),395,80,6
800407,Hansi (M Cl),396,80,6
800408,Bawani khera (MC),397,81,6
800409,Bhiwani (M Cl),398,81,6
800410,Siwani (MC),400,81,6
800411,Loharu (MC),401,81,6
800412,Charkhi Dadri (MC),402,81,6
800413,Maham (MC),404,82,6
800414,Rohtak (M Cl),405,82,6
800415,Kalanaur (MC),405,82,6
800416,Sampla (MC),406,82,6
800417,Beri (MC),407,83,6
800418,Bahadurgarh (M Cl),408,83,6
800419,Jhajjar (MC),409,83,6
800420,Kanina (MC),411,84,6
800421,Mahendragarh (MC),411,84,6
800422,Ateli (MC),412,84,6
800423,Narnaul (M Cl),412,84,6
800424,Dharuhera (MC),414,85,6
800425,Rewari (M Cl),414,85,6
800426,Bawal (MC),415,85,6
800427,Hailey Mandi (MC),416,86,6
800428,Pataudi (MC),416,86,6
800429,Gurgaon (M Corp. + OG),417,86,6
800430,Farrukhnagar (MC),418,86,6
800431,Sohna (MC),420,86,6
800432,Taoru (MC),421,87,6
800433,Nuh (MC),422,87,6
800434,Ferozepur jhirka (MC),423,87,6
800435,Punahana (MC),424,87,6
800436,Faridabad (M Corp.),425,88,6
800437,Palwal (M Cl + OG),427,89,6
800438,Hathin (MC),428,89,6
